pool_id,ticker,sigma_ada_228,declared_pledge_ada_228,fixed_cost_ada_228,margin_228,fixed_cost_ada_285,margin_285,z0_k150_ada,z0_k500_ada,f_ada_k150,f_ada_k500_feeadjusted,member_return_per_ada_epoch_k150,member_return_per_ada_epoch_k500_feeadjusted,member_apr_simple_k150,member_apr_simple_k500_feeadjusted,delta_member_return_epoch,delta_member_apr_simple,cost_changed,margin_changed
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6481.489374,1.0,340.0,0.005,340.0,0.005,213580000.0,64070000.0,4.621632446896886,4.6216324620431175,0.0,0.0,0.0,0.0,0.0,0.0,False,False
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,142795.784978,50000.0,340.0,0.0,340.0,0.0,213580000.0,64070000.0,101.82532515772544,101.8361862248069,0.0,0.0,0.0,0.0,0.0,0.0,False,False
pool104re5tajgh4mpp7c744khap56lf609cfjlna5ysjkum8qn8fel9,TOKYO,3411244.365039,100000.0,500.0,0.01,340.0,0.03,213580000.0,64070000.0,2432.722989332217,2433.4985126502006,0.0005609084412271412,0.0005952940745268122,0.04094631620958131,0.043456467440457294,3.438563329967101e-05,0.0025101512308759837,True,True
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,22133533.507169,1000.0,340.0,0.0,340.0,0.01,213580000.0,64070000.0,15782.360234292672,15782.411963607035,0.0006976906886237088,0.0006907160955126853,0.05093142026953074,0.050422274972426025,-6.9745931110234884e-06,-0.0005091452971047147,False,True
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,AZUR,17645327.936427,500000.0,340.0,0.02,340.0,0.02,213580000.0,64070000.0,12590.625432453835,12610.870698134819,0.0006803848002745463,0.0006815091976469752,0.04966809042004188,0.04975017142822919,1.1243973724289324e-06,8.208100818731206e-05,False,False
pool10akpqvczl93ep4rc59c0aqyn3dm0env2ydysuwmdm670wl24pd8,,11077384.870745,1000000.0,340.0,0.05,340.0,0.025,213580000.0,64070000.0,7908.885444452752,7932.963668170974,0.0006491099890570587,0.000668311127838317,0.04738502920116529,0.04878671233219714,1.9201138781258236e-05,0.001401683131031851,False,True
pool10capak8jppvj8h46e35xdth6h22pahtr3lcgscrpa06jzv0xn8w,SWAG,36642001.490819,100000.0,340.0,0.025,340.0,0.025,213580000.0,64070000.0,26131.2772385044,26139.835229172422,0.0006862751564988196,0.0006865028744334802,0.05009808642441383,0.05011470983364406,2.2771793466061074e-07,1.6623409230224584e-05,False,False
pool10cz0gm5zu74clhrxp9mm7ulslves04wyfxaqzr4sjr2zv7qjpnv,,342279.771204,100000.0,340.0,0.0,340.0,0.01,213580000.0,64070000.0,244.08721312944147,244.14400119082077,0.0,0.0,0.0,0.0,0.0,0.0,False,True
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,F4ADA,19818306.088752,300000.0,340.0,0.03,340.0,0.01,213580000.0,64070000.0,14137.335903623956,14151.1059715397,0.0006753057383703986,0.0006899174354555203,0.0492973189010391,0.050363972788252984,1.4611697085121708e-05,0.0010666538872138847,False,True
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,CHIL,135339.694205,35000.0,340.0,0.029,340.0,0.029,213580000.0,64070000.0,96.50762165380856,96.51583752065517,0.0,0.0,0.0,0.0,0.0,0.0,False,False
